EventID,EventType,StartDateTime,EndDateTime,EnteredOn,EventAgency,ParkingHeld,Borough,CommunityBoard(s),PolicePrecinct(s),Category,SubCategoryName,Country,ZipCode(s)
493271,Shooting Permit,6/21/19 15:00,6/21/19 23:59,6/19/19 17:17,"Mayor's Office of Film, Theatre & Broadcasting","WEST    8 STREET between 5 AVENUE and MACDOUGAL STREET,  WEST    8 STREET between 5 AVENUE and MACDOUGAL STREET",Manhattan,2,6,Commercial,Industrial/Corporate,United States of America,10011
493019,Shooting Permit,6/21/19 13:00,6/22/19 4:00,6/18/19 16:31,"Mayor's Office of Film, Theatre & Broadcasting","WATER STREET between MAIDEN LANE and WALL STREET,  MAIDEN LANE between PEARL STREET and FRONT STREET,  WATER STREET between JOHN STREET and FLETCHER STREET,  LIBERTY STREET between NASSAU STREET and WILLIAM STREET,  NASSAU STREET between LIBERTY STREET and PINE STREET,  PINE STREET between NASSAU STREET and WILLIAM STREET,  WILLIAM STREET between LIBERTY STREET and PINE STREET,  CEDAR STREET between PEARL STREET and WILLIAM STREET",Manhattan,1,1,Television,Episodic series,United States of America,"10005, 10038, 10045"
492775,Shooting Permit,6/21/19 13:00,6/22/19 4:00,6/17/19 16:59,"Mayor's Office of Film, Theatre & Broadcasting","MAIDEN LANE between FRONT STREET and PEARL STREET,  FRONT STREET between MAIDEN LANE and WALL STREET,  FRONT STREET between JOHN STREET and FLETCHER STREET,  LIBERTY STREET between NASSAU STREET and WILLIAM STREET,  NASSAU STREET between LIBERTY STREET and PINE STREET,  PINE STREET between NASSAU STREET and WILLIAM STREET,  WILLIAM STREET between LIBERTY STREET and PINE STREET,  CEDAR STREET between WILLIAM STREET and PEARL STREET",Manhattan,1,1,Television,Episodic series,United States of America,"10005, 10038, 10045"
491989,Shooting Permit,6/21/19 13:00,6/21/19 23:00,6/13/19 12:15,"Mayor's Office of Film, Theatre & Broadcasting",WEST   45 STREET between 7 AVENUE and 8 AVENUE,Manhattan,5,"14, 18",Theater,Theater,United States of America,10036
492930,Shooting Permit,6/21/19 12:30,6/22/19 2:30,6/18/19 12:58,"Mayor's Office of Film, Theatre & Broadcasting","CHURCH STREET between LEONARD STREET and LISPENARD STREET,  WALKER STREET between CHURCH STREET and BROADWAY,  FRANKLIN STREET between CHURCH STREET and BROADWAY,  READE STREET between CHURCH STREET and BROADWAY,  BROADWAY between READE STREET and CHAMBERS STREET,  CHURCH STREET between CHAMBERS STREET and READE STREET",Manhattan,1,"1, 5",Television,Cable-episodic,United States of America,"10007, 10013"
493235,Shooting Permit,6/21/19 11:00,6/22/19 0:00,6/19/19 15:11,"Mayor's Office of Film, Theatre & Broadcasting","EAST   63 STREET between 5 AVENUE and MADISON AVENUE,  EAST   63 STREET between MADISON AVENUE and PARK AVENUE,  EAST   62 STREET between 5 AVENUE and MADISON AVENUE,  EAST   62 STREET between MADISON AVENUE and PARK AVENUE,  5 AVENUE between EAST   64 STREET and EAST   63 STREET,  MADISON AVENUE between EAST   63 STREET and EAST   62 STREET,  MADISON AVENUE between EAST   62 STREET and EAST   61 STREET",Manhattan,"64, 8","19, 22",Television,Cable-episodic,United States of America,"10023, 10065"
493452,Shooting Permit,6/21/19 9:00,6/22/19 2:00,6/20/19 14:09,"Mayor's Office of Film, Theatre & Broadcasting","JAVA STREET between WEST STREET and DEAD END,  KENT STREET between WEST STREET and DEAD END",Brooklyn,1,94,Television,Cable-episodic,United States of America,11222
493185,Shooting Permit,6/21/19 9:00,6/22/19 2:00,6/19/19 12:32,"Mayor's Office of Film, Theatre & Broadcasting","WEST CEDARVIEW AVENUE between GILBERT STREET and MCKINLEY AVENUE,  MCKINLEY AVENUE between BARBARA STREET and CLARKE AVENUE,  GILBERT STREET between WEST CEDARVIEW AVENUE and THOMAS STREET,  WEST CEDARVIEW AVENUE between MCKINLEY AVENUE and KENSICO STREET",Staten Island,3,122,Film,Feature,United States of America,10306
492970,Shooting Permit,6/21/19 9:00,6/21/19 23:00,6/18/19 14:36,"Mayor's Office of Film, Theatre & Broadcasting","PARK AVENUE SOUTH between EAST   18 STREET and EAST   21 STREET,  IRVING PLACE between EAST   19 STREET and EAST   20 STREET,  GRAMERCY PARK SOUTH- E 20TH ST between IRVING PLACE and 3 AVENUE,  21ST STREET between PARK AVENUE SOUTH and GRAMERCY PARK WEST,  EAST   16 STREET between IRVING PLACE and UNION SQUARE EAST",Manhattan,"5, 6",13,Television,Cable-episodic,United States of America,"10003, 10010"
493347,Shooting Permit,6/21/19 8:00,6/21/19 22:00,6/20/19 9:44,"Mayor's Office of Film, Theatre & Broadcasting","AUDUBON AVENUE between WEST  174 STREET and WEST  176 STREET,  WEST  175 STREET between ST NICHOLAS AVENUE and AMSTERDAM AVENUE,  WEST  174 STREET between AUDUBON AVENUE and AMSTERDAM AVENUE,  WEST  174 STREET between ST NICHOLAS AVENUE and AUDUBON AVENUE,  WEST  174 STREET between AUDUBON AVENUE and AMSTERDAM AVENUE,  WEST  176 STREET between ST NICHOLAS AVENUE and AUDUBON AVENUE,  WEST  176 STREET between AUDUBON AVENUE and AMSTERDAM AVENUE,  ST NICHOLAS AVENUE between WEST  173 STREET and WEST  174 STREET,  ST NICHOLAS AVENUE between WEST  174 STREET and WEST  175 STREET,  ST NICHOLAS AVENUE between WEST  175 STREET and WEST  176 STREET,  WADSWORTH AVENUE between WEST  174 STREET and WEST  175 STREET,  WEST  171 STREET between BROADWAY and ST NICHOLAS AVENUE,  ST NICHOLAS AVENUE between WEST  170 STREET and WEST  171 STREET,  ST NICHOLAS AVENUE between WEST  170 STREET and WEST  171 STREET,  ST NICHOLAS AVENUE between WEST  171 STREET and WEST  172 STREET,  ST NICHOLAS AVENUE between WEST  172 STREET and WEST  173 STREET,  ST NICHOLAS AVENUE between WEST  172 STREET and WEST  173 STREET",Manhattan,12,33,Film,Feature,United States of America,"10032, 10033"
492272,Shooting Permit,6/21/19 7:00,6/21/19 23:00,6/14/19 16:08,"Mayor's Office of Film, Theatre & Broadcasting","BEDFORD AVENUE between STERLING STREET and MIDWOOD STREET,  LEFFERTS AVENUE between BEDFORD AVENUE and NEW YORK AVENUE,  LEFFERTS AVENUE between BEDFORD AVENUE and WASHINGTON AVENUE,  LINCOLN ROAD between BEDFORD AVENUE and WASHINGTON AVENUE,  ROGERS AVENUE between LEFFERTS AVENUE and LINCOLN ROAD,  ROGERS AVENUE between LINCOLN ROAD and MAPLE STREET,  LINCOLN ROAD between NOSTRAND AVENUE and NEW YORK AVENUE",Brooklyn,9,71,Film,Feature,United States of America,11225
493268,Shooting Permit,6/21/19 6:00,6/21/19 21:00,6/19/19 17:05,"Mayor's Office of Film, Theatre & Broadcasting","EAST   51 STREET between 1 AVENUE and 2 AVENUE,  EAST   52 STREET between 1 AVENUE and 2 AVENUE",Manhattan,"5, 6","17, 18",Television,Cable-episodic,United States of America,"10020, 10022, 10112"
491817,Theater Load in and Load Outs,6/21/19 6:00,6/23/19 6:00,6/12/19 15:56,"Mayor's Office of Film, Theatre & Broadcasting","AMSTERDAM AVENUE between WEST   73 STREET and WEST   75 STREET,  BROADWAY between WEST   74 STREET and WEST   75 STREET,  WEST   75 STREET between AMSTERDAM AVENUE and BROADWAY",Manhattan,7,20,Theater,Theater,United States of America,10023
493361,Shooting Permit,6/21/19 6:00,6/21/19 18:00,6/20/19 10:46,"Mayor's Office of Film, Theatre & Broadcasting",CLARKSON STREET between HUDSON STREET and VARICK STREET,Manhattan,2,6,Commercial,Commercial,United States of America,10014
493246,Rigging Permit,6/21/19 6:00,6/21/19 19:00,6/19/19 15:39,"Mayor's Office of Film, Theatre & Broadcasting",WEST  176 STREET between HAVEN AVENUE and SOUTH PINEHURST AVENUE,Manhattan,12,33,Film,Feature,United States of America,10033
492189,Shooting Permit,6/21/19 1:00,6/21/19 16:00,6/14/19 11:27,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
492927,Shooting Permit,6/21/19 1:00,6/21/19 13:00,6/18/19 12:51,"Mayor's Office of Film, Theatre & Broadcasting","PROSPECT PARK WEST between 1 STREET and 3 STREET,  RAILROAD AVENUE between GREENPOINT AVENUE and DEAD END,  2 STREET between PROSPECT PARK WEST and 8 AVENUE,  3 STREET between PROSPECT PARK WEST and 8 AVENUE,  7 AVENUE between BERKELEY PLACE and STERLING PLACE,  LINCOLN PLACE between 7 AVENUE and 8 AVENUE",Brooklyn,"19, 2, 55, 6","108, 78",Television,Episodic series,United States of America,"11101, 11215, 11217"
492630,Shooting Permit,6/20/19 18:00,6/21/19 7:00,6/17/19 11:59,"Mayor's Office of Film, Theatre & Broadcasting",44 ROAD between CRESCENT STREET and 24 STREET,Queens,2,108,Commercial,Commercial,United States of America,11101
493021,Shooting Permit,6/20/19 15:00,6/21/19 4:00,6/18/19 16:33,"Mayor's Office of Film, Theatre & Broadcasting","GREENWICH STREET between CHRISTOPHER STREET and MORTON STREET,  GREENWICH STREET between CHRISTOPHER STREET and WEST   10 STREET,  BARROW STREET between GREENWICH STREET and WASHINGTON STREET,  WEST   10 STREET between GREENWICH STREET and WASHINGTON STREET,  GREENWICH STREET between WEST HOUSTON STREET and LEROY STREET,  CLARKSON STREET between HUDSON STREET and WEST STREET,  WEST   23 STREET between 7 AVENUE and 8 AVENUE,  PERRY STREET between HUDSON STREET and GREENWICH STREET,  WASHINGTON STREET between WEST   14 STREET and WEST   13 STREET,  MORTON STREET between WASHINGTON STREET and GREENWICH STREET",Manhattan,"2, 4","10, 13, 6",Film,Feature,United States of America,"10011, 10014"
492099,Shooting Permit,6/20/19 15:00,6/20/19 19:00,6/13/19 17:23,"Mayor's Office of Film, Theatre & Broadcasting",Dead Road between Cherry Hill and,Manhattan,64,22,Still Photography,Not Applicable,United States of America,10023
492826,Shooting Permit,6/20/19 12:00,6/20/19 23:00,6/17/19 23:36,"Mayor's Office of Film, Theatre & Broadcasting",EDWARD L GRANT HIGHWAY between NELSON AVENUE and SHAKESPEARE AVENUE,Bronx,"4, 5","44, 46",Film,Feature,United States of America,"10452, 10453"
492883,Shooting Permit,6/20/19 11:00,6/21/19 0:00,6/18/19 11:11,"Mayor's Office of Film, Theatre & Broadcasting","EAST   63 STREET between 5 AVENUE and MADISON AVENUE,  EAST   63 STREET between MADISON AVENUE and PARK AVENUE,  EAST   62 STREET between 5 AVENUE and MADISON AVENUE,  EAST   62 STREET between MADISON AVENUE and PARK AVENUE,  5 AVENUE between EAST   64 STREET and EAST   63 STREET,  MADISON AVENUE between EAST   63 STREET and EAST   62 STREET,  MADISON AVENUE between EAST   64 STREET and EAST   63 STREET",Manhattan,"64, 8","19, 22",Television,Cable-episodic,United States of America,10065
492598,Shooting Permit,6/20/19 10:00,6/20/19 11:59,6/17/19 10:57,"Mayor's Office of Film, Theatre & Broadcasting","REVIEW AVENUE between 35 STREET and 30 STREET,  STARR AVENUE between VAN DAM STREET and 34 STREET",Queens,2,108,Television,Cable-episodic,United States of America,11101
493031,Shooting Permit,6/20/19 10:00,6/21/19 1:00,6/18/19 16:48,"Mayor's Office of Film, Theatre & Broadcasting","5 AVENUE between EAST   62 STREET and EAST   60 STREET,  CENTRAL PARK SOUTH between 6 AVENUE and 7 AVENUE,  6 AVENUE between CENTRAL PARK SOUTH and WEST   58 STREET,  EAST   59 STREET between 5 AVENUE and MADISON AVENUE,  MADISON AVENUE between EAST   59 STREET and EAST   57 STREET,  Queens Plaza South between 21 Street and 23 Street,  22 Street between Queens Plaza South and 43 Avenue,  WEST   51 STREET between 6 AVENUE and 7 AVENUE",Manhattan,"2, 5, 64, 8","108, 18, 19, 22",Television,Episodic series,United States of America,"10019, 10020, 10022, 10023, 10065, 11101"
493099,Shooting Permit,6/20/19 9:00,6/20/19 23:00,6/19/19 8:44,"Mayor's Office of Film, Theatre & Broadcasting","STARR AVENUE between VAN DAM STREET and BORDEN AVENUE,  REVIEW AVENUE between 35 STREET and BORDEN AVENUE,  VAN DAM STREET between STARR AVENUE and 35 STREET",Queens,2,108,Television,Cable-other,United States of America,11101
492989,Shooting Permit,6/20/19 9:00,6/20/19 23:00,6/18/19 15:07,"Mayor's Office of Film, Theatre & Broadcasting","MADISON AVENUE between EAST  111 STREET and EAST  116 STREET,  MADISON AVENUE between EAST  112 STREET and EAST  115 STREET,  EAST  115 STREET between MADISON AVENUE and 5 AVENUE,  EAST  115 STREET between MADISON AVENUE and 5 AVENUE,  EAST  116 STREET between 5 AVENUE and MADISON AVENUE,  ADAM CLAYTON POWELL BOULEVARD between WEST  114 STREET and WEST  115 STREET,  WEST  114 STREET between ST NICHOLAS AVENUE and MALCOLM X BOULEVARD,  ST NICHOLAS AVENUE between WEST  114 STREET and WEST  115 STREET,  WEST  115 STREET between ADAM CLAYTON POWELL BOULEVARD and ST NICHOLAS AVENUE",Manhattan,"10, 11","23, 25, 28",Television,Episodic series,United States of America,"10026, 10029"
492183,Rigging Permit,6/20/19 9:00,6/20/19 16:00,6/14/19 11:16,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
493187,Shooting Permit,6/20/19 8:00,6/20/19 23:00,6/19/19 12:40,"Mayor's Office of Film, Theatre & Broadcasting","ARTHUR KILL ROAD between VETERANS ROAD WEST and HUGUENOT AVE,  ARTHUR KILL ROAD between ROSSVILLE AVENUE and VETERANS ROAD WEST,  TYSENS LANE between ISORA PLACE and HYLAN BOULEVARD,  PENN AVENUE between HYLAN BOULEVARD and CLAWSON STREET,  MILL ROAD between TYSENS LANE and EBBITTS STREET,  EBBITTS STREET between HYLAN BOULEVARD and MILL ROAD",Staten Island,"2, 3","122, 123",Television,Cable-episodic,United States of America,"10306, 10309"
491991,Shooting Permit,6/20/19 8:00,6/20/19 22:00,6/13/19 12:20,"Mayor's Office of Film, Theatre & Broadcasting",ST MARKS AVENUE between ROGERS AVENUE and NOSTRAND AVENUE,Brooklyn,8,77,WEB,Not Applicable,United States of America,11216
492943,Shooting Permit,6/20/19 8:00,6/20/19 23:30,6/18/19 13:30,"Mayor's Office of Film, Theatre & Broadcasting","FLUSHING AVENUE between CYPRESS AVENUE and SCOTT AVENUE,  SCOTT AVENUE between FLUSHING AVENUE and TROUTMAN STREET,  JEFFERSON STREET between ST NICHOLAS AVENUE and CYPRESS AVENUE,  TROUTMAN STREET between CYPRESS AVENUE and ST NICHOLAS AVENUE,  Flushing Avenue between CYPRESS AVENUE and Onderdonk Avenue",Brooklyn,"1, 4","83, 90",Television,Episodic series,United States of America,11237
493117,Shooting Permit,6/20/19 8:00,6/21/19 2:00,6/19/19 9:49,"Mayor's Office of Film, Theatre & Broadcasting",29 STREET between 47 AVENUE and 49 AVENUE,Queens,2,108,Television,Cable-episodic,United States of America,11101
493065,Shooting Permit,6/20/19 8:00,6/21/19 1:30,6/18/19 18:35,"Mayor's Office of Film, Theatre & Broadcasting","PORT RICHMOND AVENUE between HOOKER PLACE and BURDEN AVENUE,  HOOKER PLACE between PORT RICHMOND AVENUE and LAFORGE PLACE,  CATHERINE STREET between PORT RICHMOND AVENUE and LAGRANGE PLACE,  BEEKMAN STREET between PORT RICHMOND AVENUE and LAGRANGE PLACE,  PORT RICHMOND AVENUE between HOOKER PLACE and WALKER STREET,  LAFORGE AVENUE between PORT RICHMOND AVENUE and LAFORGE PLACE,  RAINBOW AVENUE between PORT RICHMOND AVENUE and HEBERTON AVENUE,  RAINBOW AVENUE between PORT RICHMOND AVENUE and HEBERTON AVENUE",Staten Island,1,121,Film,Feature,United States of America,10302
492162,Shooting Permit,6/20/19 7:30,6/20/19 21:30,6/14/19 10:17,"Mayor's Office of Film, Theatre & Broadcasting","MANHATTAN AVENUE between CALYER STREET and NORMAN AVENUE,  MANHATTAN AVENUE between MESEROLE AVENUE and NORMAN AVENUE,  Kingsland Ave between DEAD END and Greenpoint ave,  Kingsland Ave between GREENPOINT AVENUE and North Henry Ave,  BANKER STREET between NORMAN AVENUE and MESEROLE AVENUE,  NORMAN AVENUE between BANKER STREET and DOBBIN STREET",Brooklyn,1,94,Television,Cable-episodic,United States of America,11222
492203,Shooting Permit,6/20/19 7:00,6/20/19 23:00,6/14/19 12:15,"Mayor's Office of Film, Theatre & Broadcasting","BOWERY between EAST HOUSTON STREET and GRAND STREET,  BOWERY between EAST HOUSTON STREET and RIVINGTON STREET,  ELIZABETH STREET between KENMARE STREET and BROOME STREET,  ELDRIDGE STREET between RIVINGTON STREET and DELANCEY STREET,  KENMARE STREET between ELIZABETH STREET and BOWERY,  DELANCEY STREET between BOWERY and ALLEN STREET,  FORSYTHE STREET between DELANCEY STREET and BROOME STREET",Manhattan,"2, 3",5,Film,Feature,United States of America,"10002, 10012, 10013"
492999,Shooting Permit,6/20/19 7:00,6/20/19 23:00,6/18/19 15:22,"Mayor's Office of Film, Theatre & Broadcasting","EAST  140 STREET between LOCUST AVENUE and WALNUT AVENUE,  WALNUT AVENUE between EAST  139 STREET and EAST  140 STREET,  EAST  139 STREET between WALNUT AVENUE and LOCUST AVENUE",Bronx,1,40,Television,Episodic series,United States of America,10454
493233,Shooting Permit,6/20/19 7:00,6/20/19 23:00,6/19/19 15:07,"Mayor's Office of Film, Theatre & Broadcasting","AUDUBON AVENUE between WEST  174 STREET and WEST  176 STREET,  WEST  175 STREET between ST NICHOLAS AVENUE and AMSTERDAM AVENUE,  WEST  174 STREET between AUDUBON AVENUE and AMSTERDAM AVENUE,  WEST  174 STREET between ST NICHOLAS AVENUE and AUDUBON AVENUE,  WEST  174 STREET between AUDUBON AVENUE and AMSTERDAM AVENUE,  WEST  176 STREET between ST NICHOLAS AVENUE and AUDUBON AVENUE,  WEST  176 STREET between AUDUBON AVENUE and AMSTERDAM AVENUE,  ST NICHOLAS AVENUE between WEST  173 STREET and WEST  174 STREET,  ST NICHOLAS AVENUE between WEST  174 STREET and WEST  175 STREET,  ST NICHOLAS AVENUE between WEST  175 STREET and WEST  176 STREET,  WEST  171 STREET between BROADWAY and ST NICHOLAS AVENUE,  ST NICHOLAS AVENUE between WEST  170 STREET and WEST  171 STREET,  ST NICHOLAS AVENUE between WEST  170 STREET and WEST  171 STREET,  ST NICHOLAS AVENUE between WEST  171 STREET and WEST  172 STREET,  ST NICHOLAS AVENUE between WEST  172 STREET and WEST  173 STREET,  ST NICHOLAS AVENUE between WEST  172 STREET and WEST  173 STREET,  WADSWORTH AVENUE between WEST  174 STREET and WEST  175 STREET",Manhattan,12,33,Film,Feature,United States of America,"10032, 10033"
493032,Shooting Permit,6/20/19 7:00,6/20/19 20:00,6/18/19 16:53,"Mayor's Office of Film, Theatre & Broadcasting","5 AVENUE between EAST   90 STREET and EAST   93 STREET,  EAST   92 STREET between 5 AVENUE and MADISON AVENUE,  MADISON AVENUE between EAST   93 STREET and EAST   90 STREET,  MADISON AVENUE between EAST   93 STREET and EAST   92 STREET,  MADISON AVENUE between EAST   93 STREET and EAST   92 STREET,  MADISON AVENUE between EAST   91 STREET and EAST   90 STREET,  EAST   91 STREET between 5 AVENUE and MADISON AVENUE,  EAST   91 STREET between 5 AVENUE and MADISON AVENUE,  EAST   92 STREET between MADISON AVENUE and 5 AVENUE,  E 124th Street between MALCOLM X BLVD and Madison Ave,  EAST  124 STREET between MADISON AVENUE and 5 AVENUE,  MADISON AVE between MARTIN LUTHER JR KING BLVD and E 123RD  STREET,  MADISON AVENUE between EAST  123 STREET and EAST  121 STREET,  MADISON AVE between MARTIN LUTHER KING JR BLVD and E 124TH ST,  MADISON AVENUE between EAST  124 STREET and EAST  123 STREET,  EAST  122 STREET between MADISON AVENUE and PARK AVENUE,  EAST  122 STREET between MADISON AVENUE and PARK AVENUE,  MADISON AVENUE between EAST  121 STREET and EAST  120 STREET,  MADISON AVENUE between EAST   86 STREET and EAST   88 STREET,  EAST   87 STREET between 5 AVENUE and MADISON AVENUE,  5 AVENUE between EAST   85 STREET and EAST   88 STREET",Manhattan,"11, 64, 8","19, 22, 25",Film,Feature,United States of America,"10027, 10028, 10035, 10128"
493226,Shooting Permit,6/20/19 6:00,6/20/19 22:00,6/19/19 14:50,"Mayor's Office of Film, Theatre & Broadcasting","WEST   37 STREET between 10 AVENUE and 11 AVENUE,  WEST   37 STREET between 10 AVENUE and DYER AVENUE,  10 AVENUE between WEST   35 STREET and WEST   38 STREET,  W 36 ST between 10 AVENUE and 11 AVENUE,  WEST   38 STREET between 10 AVENUE and 11 AVENUE",Manhattan,4,10,Film,Feature,United States of America,10018
492912,Theater Load in and Load Outs,6/20/19 6:00,6/21/19 23:59,6/18/19 12:15,"Mayor's Office of Film, Theatre & Broadcasting",ATLANTIC AVENUE between 6 AVENUE and FORT GREENE PLACE,Brooklyn,2,78,Television,Cable-other,United States of America,11217
492983,Shooting Permit,6/20/19 6:00,6/20/19 23:00,6/18/19 14:58,"Mayor's Office of Film, Theatre & Broadcasting","LEONARD STREET between MESEROLE STREET and CALYER STREET,  MESEROLE AVENUE between MANHATTAN AVENUE and ECKFORD STREET",Brooklyn,1,"90, 94",Commercial,Commercial,United States of America,"11206, 11211, 11222"
492641,Theater Load in and Load Outs,6/20/19 6:00,6/21/19 23:59,6/17/19 12:29,"Mayor's Office of Film, Theatre & Broadcasting",WEST   51 STREET between 5 AVENUE and 6 AVENUE,Manhattan,5,18,Theater,Theater,United States of America,"10019, 10020"
492202,Shooting Permit,6/20/19 6:00,6/20/19 21:00,6/14/19 12:04,"Mayor's Office of Film, Theatre & Broadcasting","DOUGLASS STREET between 4 AVENUE and 3 AVENUE,  BUTLER STREET between 4 AVENUE and 3 AVENUE",Brooklyn,6,78,Commercial,Commercial,United States of America,11217
493175,Shooting Permit,6/20/19 5:00,6/20/19 10:00,6/19/19 12:01,"Mayor's Office of Film, Theatre & Broadcasting",WEST   48 STREET between 6 AVENUE and 7 AVENUE,Manhattan,5,18,Television,News,United States of America,"10036, 10105"
484753,Theater Load in and Load Outs,6/20/19 0:01,6/21/19 3:00,5/14/19 10:08,"Mayor's Office of Film, Theatre & Broadcasting","EAST   42 STREET between LEXINGTON AVENUE and 3 AVENUE,  EAST   47 STREET between 5 AVENUE and MADISON AVENUE,  5 AVENUE between DEAN STREET and BERGEN STREET",Manhattan,"2, 5, 6","14, 17, 18, 78",Theater,Theater,United States of America,"10017, 11217"
493159,Theater Load in and Load Outs,6/20/19 0:01,6/21/19 6:00,6/19/19 11:36,"Mayor's Office of Film, Theatre & Broadcasting","6 AVENUE between WALKER STREET and LISPENARD STREET,  WALKER STREET between 6 AVENUE and CHURCH STREET,  CHURCH STREET between WALKER STREET and LISPENARD STREET",Manhattan,1,1,Theater,Theater,United States of America,10013
487151,Theater Load in and Load Outs,6/20/19 0:01,6/21/19 6:00,5/23/19 16:25,"Mayor's Office of Film, Theatre & Broadcasting","FROST STREET between DEBEVOISE AVENUE and MORGAN AVENUE,  DEBEVOISE AVENUE between FROST STREET and RICHARDSON STREET",Brooklyn,1,94,Theater,Theater,United States of America,11222
491055,Theater Load in and Load Outs,6/20/19 0:01,6/21/19 23:59,6/10/19 13:16,"Mayor's Office of Film, Theatre & Broadcasting","WEST   31 STREET between 7 AVENUE and 8 AVENUE,  8 AVENUE between WEST   31 STREET and WEST   33 STREET",Manhattan,"4, 5",14,Theater,Theater,United States of America,"10001, 10121"
485786,Theater Load in and Load Outs,6/20/19 0:01,6/21/19 6:00,5/17/19 15:32,"Mayor's Office of Film, Theatre & Broadcasting","EAST   11 STREET between 3 AVENUE and 4 AVENUE,  3 AVENUE between EAST   11 STREET and EAST   12 STREET",Manhattan,"11, 3","23, 9",Theater,Theater,United States of America,"10003, 10029"
492074,Shooting Permit,6/19/19 18:00,6/20/19 6:00,6/13/19 15:48,"Mayor's Office of Film, Theatre & Broadcasting",IRVING AVENUE between HALSEY STREET and ELDERT STREET,Brooklyn,4,83,WEB,Not Applicable,United States of America,11237
492674,Shooting Permit,6/19/19 15:00,6/20/19 5:00,6/17/19 13:32,"Mayor's Office of Film, Theatre & Broadcasting","WEST   52 STREET between 5 AVENUE and 6 AVENUE,  WEST   52 STREET between 6 AVENUE and 7 AVENUE,  EAST   51 STREET between 5 AVENUE and MADISON AVENUE,  WEST   52 STREET between 6 AVENUE and 5 AVENUE,  EAST   52 STREET between 5 AVENUE and MADISON AVENUE,  MERCER STREET between GRAND STREET and BROOME STREET,  MERCER STREET between GRAND STREET and HOWARD STREET,  GRAND STREET between MERCER STREET and BROADWAY,  GRAND STREET between MERCER STREET and GREENE STREET,  GRAND STREET between WOOSTER STREET and MERCER STREET,  GREENE STREET between GRAND STREET and CANAL STREET,  BROOME STREET between WEST BROADWAY and BROADWAY",Manhattan,"2, 5","1, 18",Film,Feature,United States of America,"10013, 10019, 10022, 10103"
492749,Shooting Permit,6/19/19 13:00,6/20/19 1:30,6/17/19 15:57,"Mayor's Office of Film, Theatre & Broadcasting","TEN EYCK STREET between LORIMER STREET and UNION AVENUE,  SOUTH    2 STREET between UNION AVENUE and HOOPER STREET,  UNION AVENUE between SOUTH    1 STREET and SOUTH    2 STREET,  LORIMER STREET between TEN EYCK STREET and MAUJER STREET,  LORIMER STREET between TEN EYCK STREET and STAGG STREET,  HEWES STREET between SOUTH    2 STREET and SOUTH    3 STREET,  SOUTH    3 STREET between UNION AVENUE and HEWES STREET,  HEWES STREET between SOUTH    3 STREET and SOUTH    4 STREET,  UNION AVENUE between SOUTH    2 STREET and SOUTH    3 STREET",Brooklyn,1,90,Television,Episodic series,United States of America,"11206, 11211"
492594,Shooting Permit,6/19/19 11:00,6/20/19 1:00,6/17/19 10:48,"Mayor's Office of Film, Theatre & Broadcasting","REVIEW AVENUE between 35 STREET and 30 STREET,  STARR AVENUE between VAN DAM STREET and 34 STREET",Queens,2,108,Television,Cable-episodic,United States of America,11101
491857,Shooting Permit,6/19/19 11:00,6/20/19 2:00,6/12/19 17:56,"Mayor's Office of Film, Theatre & Broadcasting","NASSAU STREET between SPRUCE STREET and ANN STREET,  SPRUCE STREET between NASSAU STREET and GOLD STREET,  SPRUCE STREET between NASSAU STREET and WILLIAM STREET,  GOLD STREET between SPRUCE STREET and ANN STREET,  GOLD STREET between BEEKMAN STREET and FULTON STREET,  FULTON STREET between GOLD STREET and CLIFF STREET,  MULBERRY STREET between EAST HOUSTON STREET and PRINCE STREET,  PRINCE STREET between MULBERRY STREET and BOWERY,  KENMARE STREET between MULBERRY STREET and BOWERY,  MOTT STREET between PRINCE STREET and SPRING STREET,  ELIZABETH STREET between PRINCE STREET and KENMARE STREET,  ELIZABETH STREET between EAST HOUSTON STREET and PRINCE STREET",Manhattan,"1, 2","1, 5",Television,Episodic series,United States of America,"10012, 10038"
492864,Shooting Permit,6/19/19 10:00,6/20/19 2:00,6/18/19 10:33,"Mayor's Office of Film, Theatre & Broadcasting","CENTRE STREET between WHITE STREET and WALKER STREET,  WALKER STREET between CENTRE STREET and LAFAYETTE STREET,  WALKER STREET between CENTRE STREET and BAXTER STREET,  WHITE STREET between CHURCH STREET and BROADWAY,  COURT STREET between STATE STREET and LIVINGSTON STREET,  SCHERMERHORN STREET between BOERUM PLACE and COURT STREET,  SCHERMERHORN STREET between COURT STREET and CLINTON STREET",Manhattan,"1, 2","1, 5, 84",Film,Feature,United States of America,"10013, 11201"
492648,Shooting Permit,6/19/19 9:00,6/20/19 1:00,6/17/19 12:47,"Mayor's Office of Film, Theatre & Broadcasting","WEST   18 STREET between 10 AVENUE and 9 AVENUE,  10 AVENUE between WEST   18 STREET and WEST   17 STREET,  WEST   17 STREET between 10 AVENUE and 9 AVENUE,  9 AVENUE between WEST   17 STREET and WEST   16 STREET",Manhattan,4,10,Television,Episodic series,United States of America,10011
