Name,Period,Diet,Country
Leptoceratops,Cretaceous,herbivore,North America
Leptorhynchos,Cretaceous,omnivore,North America
Leshansaurus,Jurassic,carnivore,China
Lesothosaurus,Jurassic,herbivore,Lesotho
Lessemsaurus,Triassic,herbivore,South America
Levnesovia,Cretaceous,herbivore,Uzbekistan
Lexovisaurus,Jurassic,herbivore,"England, France"
Leyesaurus,Jurassic,herbivore,South America
Liaoceratops,Cretaceous,herbivore,China
Liaoningosaurus,Cretaceous,carnivore,China
Liassaurus,Jurassic,(unknown),England
Ligabueino,Cretaceous,carnivore,South America
Ligabuesaurus,Cretaceous,herbivore,South America
Lihkoelesauus,Triassic,(unknown),South Africa
Liliensternus,Triassic,carnivore,Germany
Limaysaurus,Cretaceous,herbivore,South America
Limusaurus,Jurassic,herbivore,China
Lingwulong,Jurassic,herbivore,China
Linhenykus,Cretaceous,carnivore,China
Linheraptor,Cretaceous,carnivore,China
Linhevenator,Cretaceous,carnivore,China
Lirainosaurus,Cretaceous,herbivore,Spain
Liubangosaurus,Cretaceous,herbivore,China
Loncosaurus,Cretaceous,herbivore,South America
Lophorhothon,Cretaceous,herbivore,North America
Lophostropheus,Triassic/Jurassic,carnivore,France
Loricatosaurus,Jurassic,herbivore,England and France
Losillasaurus,Jurassic/Cretaceous,herbivore,Spain
Lourinhanosaurus,Jurassic,carnivore,Portugal
Lourinhasaurus,Jurassic,herbivore,Portugal
Luanchuanraptor,Cretaceous,carnivore,China
Lufengosaurus,Jurassic,herbivore,China
Luoyanggia,Cretaceous,omnivore,China
Lurdusaurus,Cretaceous,herbivore,Niger
Lusitanosaurus,Jurassic,herbivore,Portugal
Lusotitan,Jurassic,herbivore,Portugal
Lycorhinus,Jurassic,omnivore,South Africa
Lythronax,Cretaceous,carnivore,North America
Machairasaurus,Cretaceous,omnivore,China
Macrogryphosaurus,Cretaceous,herbivore,South America
Macrurosaurus,Cretaceous,herbivore,England
Magnamanus,Cretaceous,herbivore,Spain
Magnapaulia,Cretaceous,herbivore,North America
Magnirostris,Cretaceous,herbivore,China
Magnosaurus,Jurassic,carnivore,England
Magulodon,Cretaceous,herbivore,North America
Magyarosaurus,Cretaceous,herbivore,Romania
Mahakala,Cretaceous,carnivore,Mongolia
Maiasaura,Cretaceous,herbivore,North America
Majungasaurus,Late Cretaceous,carnivore,Madagascar
Malarguesaurus,Cretaceous,herbivore,South America
Malawisaurus,Cretaceous,herbivore,Malawi
Maleevus,Cretaceous,herbivore,Mongolia
Mamenchisaurus,Jurassic,herbivore,"China, Mongolia & Thailand"
Mandschurosaurus,Cretaceous,herbivore,China & Laos
Manidens,Jurassic,omnivore,South America
Mantellisaurus,Cretaceous,herbivore,"Belgium, England, Germany"
Mantellodon,Cretaceous,herbivore,England
Mapusaurus,Cretaceous,carnivore,South America
Marisaurus,Cretaceous,herbivore,Pakistan
Marshosaurus,Jurassic,carnivore,North America
Martharaptor,Cretaceous,carnivore,North America
Masiakasaurus,Late Cretaceous,carnivore,Madagascar
Massospondylus,Jurassic,herbivore,"South Africa, Lesotho, Zimbabwe"
Matheronodon,Cretaceous,herbivore,France
Maxakalisaurus,Cretaceous,herbivore,South America
Medusaceratops,Cretaceous,herbivore,North America
Megacervixosaurus,Cretaceous,herbivore,China
Megalosaurus,Jurassic,carnivore,"England, France, Austria, Romania, Belgium"
Megaraptor,Cretaceous,carnivore,South America
Mei,Cretaceous,carnivore,China
Melanorosaurus,Triassic,herbivore,South Africa
Mendozasaurus,Cretaceous,herbivore,South America
Mercuriceratops,Cretaceous,herbivore,North America
Merosaurus,Jurassic,carnivore,England
Metriacanthosaurus,Jurassic,carnivore,England
Microcephale,Cretaceous,herbivore,North America
Microceratus,Cretaceous,herbivore,Mongolia
Microcoelus,Cretaceous,herbivore,South America
Microdontosaurus,(unknown),herbivore,China
Microhadrosaurus,Cretaceous,herbivore,China
Micropachycephalosaurus,Cretaceous,herbivore,China
Microraptor,Cretaceous,carnivore,China
Microvenator,Cretaceous,carnivore,North America
Minmi,Early Cretaceous,herbivore,Australia
Minotaurasaurus,Cretaceous,herbivore,Mongolia
Miragaia,Jurassic,herbivore,Portugal
Mirischia,Cretaceous,carnivore,South America
Moabosaurus,Cretaceous,herbivore,North America
Mochlodon,Cretaceous,herbivore,Austria
Mojoceratops,Cretaceous,herbivore,North America
Mongolosaurus,Cretaceous,herbivore,China
Monkonosaurus,Jurassic,herbivore,China
Monoclonius,Cretaceous,herbivore,North America
Monolophosaurus,Jurassic,carnivore,China
Mononykus,Cretaceous,carnivore,Mongolia
Montanoceratops,Cretaceous,herbivore,North America
Morelladon,Cretaceous,herbivore,Spain
Morinosaurus,Cretaceous,herbivore,France
Moros,Cretaceous,carnivore,North America
Morrosaurus,Late Cretaceous,herbivore,Antarctica
Mosaiceratops,Cretaceous,herbivore,China
Mussaurus,Triassic,herbivore,South America
Muttaburrasaurus,Early Cretaceous,herbivore,Australia
Muyelensaurus,Cretaceous,herbivore,South America
Mymoorapelta,Jurassic,herbivore,North America
Naashoibitosaurus,Cretaceous,herbivore,North America
Nambalia,Late Triassic,omnivore,India
Nankangia,Cretaceous,omnivore,China
Nanningosaurus,Cretaceous,herbivore,China
Nanosaurus,Jurassic,herbivore,North America
Nanotyrannus,Cretaceous,carnivore,North America
Nanshiungosaurus,Cretaceous,herbivore,China
Nanuqsaurus,Cretaceous,carnivore,North America
Nanyangosaurus,Cretaceous,herbivore,China
Narambuenatitan,Cretaceous,herbivore,South America
Nasutoceratops,Cretaceous,herbivore,North America
Nebulasaurus,Jurassic,herbivore,China
Nedcolbertia,Cretaceous,carnivore,North America
Nedoceratops,Cretaceous,herbivore,North America
Neimongosaurus,Cretaceous,herbivore,China
Nemegtomaia,Cretaceous,carnivore/omnivore,Mongolia
Nemegtonykus,Cretaceous,carnivore,Mongolia
Nemegtosaurus,Cretaceous,herbivore,Mongolia
Neosodon,Jurassic,herbivore,France
Neovenator,Cretaceous,carnivore,England
Neuquenraptor,Cretaceous,carnivore,South America
Neuquensaurus,Cretaceous,herbivore,South America
Newtonsaurus,Triassic,carnivore,England
Ngexisaurus,Jurassic,carnivore,China
Ngwevu,Jurassic,Herbivore,South Africa
Nigersaurus,Cretaceous,herbivore,Niger
Ningyuansaurus,Cretaceous,omnivore,China
Niobrarasaurus,Cretaceous,herbivore,North America
Nipponosaurus,Cretaceous,herbivore,Russia
Noasaurus,Cretaceous,carnivore,South America
Nodocephalosaurus,Cretaceous,herbivore,North America
Nodosaurus,Cretaceous,herbivore,North America
Nomingia,Cretaceous,carnivore/omnivore,Mongolia
Nopcsaspondylus,Cretaceous,herbivore,South America
Normanniasaurus,Cretaceous,herbivore,France
Nothronychus,Cretaceous,herbivore,North America
Notoceratops,Cretaceous,herbivore,South America
Notocolossus,Cretaceous,herbivore,South America
Notohypsilophodon,Cretaceous,herbivore,South America
Nqwebasaurus,Cretaceous,omnivore,South Africa
Nurosaurus,Cretaceous,herbivore,China
Nuthetes,Cretaceous,carnivore,England
Nyasasaurus,Triassic,carnivore,Tanzania
Ohmdenosaurus,Jurassic,herbivore,Germany
Ojoceratops,Cretaceous,herbivore,North America
Ojoraptorsaurus,Cretaceous,omnivore,North America
Olorotitan,Cretaceous,herbivore,Russia
Omeisaurus,Jurassic,herbivore,China
Oohkotokia,Cretaceous,herbivore,North America
Opisthocoelicaudia,Cretaceous,herbivore,Mongolia
Oplosaurus,Cretaceous,herbivore,England
Orcomimus,Cretaceous,omnivore,North America
Orkoraptor,Cretaceous,carnivore,South America
Ornithodesmus,Cretaceous,carnivore,England
Ornitholestes,Jurassic,carnivore,North America
Ornithomimoides,Late Cretaceous,carnivore,India
Ornithomimus,Cretaceous,omnivore,North America
Ornithopsis,Cretaceous,herbivore,England
Orodromeus,Cretaceous,herbivore,North America
Orthogoniosaurus,Late Cretaceous,carnivore,India
Orthomerus,Cretaceous,herbivore,"Netherlands, Belgium"
Oryctodromeus,Cretaceous,herbivore,North America
Oshanosaurus,Jurassic,herbivore,China
Osmakasaurus,Cretaceous,herbivore,North America
Ostafrikasaurus,Jurassic,carnivore,Tanzania
Othnielia,Jurassic,herbivore,North America
Othnielosaurus,Jurassic,herbivore,North America
Otogosaurus,Cretaceous,herbivore,China
Ouranosaurus,Cretaceous,herbivore,Niger
Overosaurus,Cretaceous,herbivore,South America
Oviraptor,Cretaceous,omnivore,Mongolia
Owenodon,Cretaceous,herbivore,England
Oxalaia,Cretaceous,carnivore,South America
Ozraptor,Middle Jurassic,carnivore,Australia
Pachycephalosaurus,Cretaceous,herbivore,North America
Pachyrhinosaurus,Cretaceous,herbivore,North America
Pachysuchus,Jurassic,herbivore,China
Padillasaurus,Cretaceous,herbivore,South America
Pakisaurus,Cretaceous,herbivore,Pakistan
Palaeopteryx,Jurassic,insectivore,North America
Palaeoscincus,Cretaceous,herbivore,North America
Paludititan,Cretaceous,herbivore,Romania
Pampadromaeus,Triassic,herbivore,South America
Pamparaptor,Cretaceous,carnivore,South America
Panamericansaurus,Cretaceous,herbivore,South America
Panoplosaurus,Cretaceous,herbivore,North America
Panphagia,Triassic,omnivore,South America
Pantydraco,Triassic,herbivore,England
Paralititan,Cretaceous,herbivore,Egypt
Paranthodon,Cretaceous,herbivore,South Africa
Pararhabdodon,Cretaceous,herbivore,Spain
Parasaurolophus,Cretaceous,herbivore,North America
Parksosaurus,Cretaceous,herbivore,North America
Paronychodon,Cretaceous,carnivore,North America
Parvicursor,Cretaceous,carnivore?,Mongolia
Patagonykus,Cretaceous,carnivore,South America
Patagosaurus,Jurassic,herbivore,South America
Pawpawsaurus,Cretaceous,herbivore,North America
Pectinodon,Cretaceous,carnivore,North America
Pedopenna,Jurassic,carnivore,China
Pegomastax,Jurassic,omnivore,South Africa
Peishansaurus,Cretaceous,herbivore,China
Pelecanimimus,Cretaceous,carnivore,Spain
Pellegrinisaurus,Cretaceous,herbivore,South America
Peloroplites,Cretaceous,herbivore,North America
Pelorosaurus,Cretaceous,herbivore,England & Portugal
Penelopognathus,Cretaceous,herbivore,China
Pentaceratops,Cretaceous,herbivore,North America
Petrobrasaurus,Cretaceous,herbivore,South America
Phaedrolosaurus,Cretaceous,carnivore,China
Philovenator,Cretaceous,omnivore,China
Phuwiangosaurus,Cretaceous,herbivore,Thailand
Phuwiangvenator,Cretaceous,carnivore,Thailand
Phyllodon,Jurassic,herbivore,Portugal
Piatnitzkysaurus,Jurassic,carnivore,South America
Pinacosaurus,Cretaceous,herbivore,Mongolia & China
Pitekunsaurus,Cretaceous,herbivore,South America
Piveteausaurus,Jurassic,carnivore,France
Planicoxa,Cretaceous,herbivore,North America
Plateosauravus,Triassic,herbivore,South Africa
Plateosaurus,Triassic,herbivore,"Germany, France, Switzerland, Norway, & Greenland"
Platyceratops,Cretaceous,herbivore,Mongolia
Plesiohadros,Cretaceous,herbivore,Mongolia
Pneumatoraptor,Cretaceous,carnivore,Hungary
Podokesaurus,Jurassic,carnivore,North America
Poekilopleuron,Jurassic,carnivore,England
Polacanthus,Cretaceous,herbivore,England
Polyonax,Cretaceous,herbivore,North America
Pradhania,Early Jurassic,omnivore,India
Prenocephale,Cretaceous,herbivore/omnivore,Mongolia
Prenoceratops,Cretaceous,herbivore,North America
Priconodon,Cretaceous,herbivore,North America
Priodontognathus,Jurassic,herbivore,England
Proa,Cretaceous,herbivore,Spain
Probactrosaurus,Cretaceous,herbivore,Mongolia & China
Proceratosaurus,Jurassic,carnivore,England
Procompsognathus,Triassic,carnivore,Germany
Prodeinodon,Cretaceous,carnivore,Mongolia & China
Propanoplosaurus,Cretaceous,herbivore,North America
Proplanicoxa,Cretaceous,herbivore,England
Prosaurolophus,Cretaceous,herbivore,North America
Protarchaeopteryx,Cretaceous,herbivore/omnivore,China
Protoavis,Triassic,carnivore,North America
Protoceratops,Cretaceous,herbivore,Mongolia
Protognathosaurus,Jurassic,herbivore,China
Protohadros,Cretaceous,herbivore,North America
Psittacosaurus,Cretaceous,herbivore,"China, Mongolia, Thailand (?), & Russia"
Pteropelyx,Cretaceous,herbivore,North America
Pterospondylus,Triassic,carnivore,Germany
Puertasaurus,Cretaceous,herbivore,South America
Pukyongosaurus,Cretaceous,herbivore,South Korea
Pycnonemosaurus,Cretaceous,carnivore,South America
Pyroraptor,Cretaceous,carnivore,France
Qantassaurus,Early Cretaceous,herbivore,Australia
Qianzhousaurus,Cretaceous,carnivore,China
Qiaowanlong,Cretaceous,herbivore,China
Qingxiusaurus,Cretaceous,herbivore,China
Qinlingosaurus,Cretaceous,herbivore,China
Qiupalong,Cretaceous,omnivore,Mongolia & Canada
Quaesitosaurus,Cretaceous,herbivore,Mongolia
Quetecsaurus,Cretaceous,herbivore,South America
Quilmesaurus,Cretaceous,carnivore,South America
Rahiolisaurus,Late Cretaceous,carnivore,India
Rahonavis,Late Cretaceous,carnivore,Madagascar
Rajasaurus,Late Cretaceous,carnivore,India
Rapator,Early Cretaceous,carnivore,Australia
Rapetosaurus,Late Cretaceous,herbivore,Madagascar
Raptorex,Cretaceous,carnivore,Mongolia (& China ?)
Ratchasimasaurus,Cretaceous,herbivore,Thailand
Rayososaurus,Cretaceous,herbivore,South America
Rebbachisaurus,Cretaceous,herbivore,"Morocco, Niger & Tunisia"
Regnosaurus,Cretaceous,herbivore,England
Rhabdodon,Cretaceous,herbivore,"France, Czech Republic, Romania, Spain"
Rhadinosaurus,Cretaceous,herbivore,"Austria, Romania, France, Hungary"
Rhoetosaurus,Middle Jurassic,herbivore,Australia
Riabininohadros,Cretaceous,herbivore,Russia
Richardoestesia,Cretaceous,carnivore,North America
Rinchenia,Cretaceous,omnivore,Mongolia
Rinconsaurus,Cretaceous,herbivore,South America
Riojasaurus,Triassic,herbivore,South America
Rocasaurus,Cretaceous,herbivore,South America
Ronaldoraptor,Cretaceous,omnivore,Mongolia
Rubeosaurus,Cretaceous,herbivore,North America
Ruehleia,Triassic,herbivore,Germany
Rugops,Cretaceous,carnivore,Niger
Rukwatitan,Cretaceous,herbivore,Tanzania
Ruyangosaurus,Cretaceous,herbivore,China
Sahaliyania,Cretaceous,herbivore,China
Saichania,Cretaceous,herbivore,Mongolia
Saltasaurus,Cretaceous,herbivore,South America
Saltriovenator,Jurassic,carnivore,Italy
Sanchusaurus,Cretaceous,herbivore,Japan
Sangonghesaurus,Jurassic/Cretaceous,herbivore,China
Sanjuansaurus,Triassic,carnivore,South America
Sanpasaurus,Jurassic,herbivore,China
Santanaraptor,Cretaceous,carnivore,South America
Sarahsaurus,Jurassic,herbivore,North America
Sarcolestes,Jurassic,herbivore,England
Sarcosaurus,Jurassic,carnivore,England
Sarmientosaurus,Cretaceous,herbivore,South America
Saturnalia,Triassic,herbivore,South America
Saurolophus,Cretaceous,herbivore,"Mongolia, USA, Canada & China"
Saurolophus,Cretaceous,herbivore,North America
Sauroniops,Cretaceous,carnivore,Morocco
Sauropelta,Cretaceous,herbivore,North America
Saurophaganax,Jurassic,carnivore,North America
Sauroplites,Cretaceous,herbivore,China
Sauroposeidon,Cretaceous,herbivore,North America
Saurornithoides,Cretaceous,carnivore,Mongolia
Saurornitholestes,Cretaceous,carnivore,North America
Savannasaurus,Late Cretaceous,herbivore,Australia
Scansoriopteryx,Jurassic,carnivore,China
Scelidosaurus,Jurassic,herbivore,England
Scipionyx,Cretaceous,carnivore,Italy
Sciurumimus,Jurassic,carnivore,Germany
Scolosaurus,Cretaceous,herbivore,North America
Scutellosaurus,Jurassic,herbivore,North America
Secernosaurus,Cretaceous,herbivore,South America
Segisaurus,Jurassic,carnivore,North America
Segnosaurus,Cretaceous,herbivore/omnivore,Mongolia
Seitaad,Jurassic,herbivore,North America
Sellacoxa,Cretaceous,herbivore,England
Serendipaceratops,Early Cretaceous,herbivore,Australia
Shamosaurus,Cretaceous,herbivore,Mongolia
Shanag,Cretaceous,carnivore,Mongolia
Shantungosaurus,Cretaceous,herbivore,China
Shanxia,Cretaceous,herbivore,China
Shanyangosaurus,Cretaceous,(unknown),China
Shaochilong,Cretaceous,carnivore,China
Shenzhousaurus,Cretaceous,herbivore,China
Shidaisaurus,Jurassic,carnivore,China
Shishugounykus,Jurassic,carnivore,China
Shixinggia,Cretaceous,omnivore,China
Shuangmiaosaurus,Cretaceous,herbivore,China
Shunosaurus,Jurassic,herbivore,China
Shuvuuia,Cretaceous,carnivore,Mongolia
Siamodon,Cretaceous,herbivore,Thailand
Siamosaurus,Cretaceous,carnivore,Thailand
Siamotyrannus,Cretaceous,carnivore,Thailand
Siamraptor,Cretaceous,Carnivore,Thailand
Siats,Cretaceous,carnivore,North America
Sigilmassasaurus,Cretaceous,carnivore,Morocco
Siluosaurus,Cretaceous,herbivore,China
Silvisaurus,Cretaceous,herbivore,North America
Similicaudipteryx,Cretaceous,omnivore,China
Sinocalliopteryx,Cretaceous,carnivore,China
Sinoceratops,Cretaceous,herbivore,China
Sinocoelurus,Jurassic,carnivore,China
Sinopliosaurus,Cretaceous,carnivore,China
Sinornithoides,Cretaceous,carnivore,China
Sinornithomimus,Cretaceous,omnivore,China
Sinornithosaurus,Cretaceous,carnivore,China
Sinosauropteryx,Cretaceous,carnivore,China
Sinosaurus,Triassic/Jurassic,carnivore,China
Sinotyrannus,Cretaceous,carnivore,China
Sinovenator,Cretaceous,carnivore,China
Sinraptor,Jurassic,carnivore,China
Sinusonasus,Cretaceous,carnivore,China
Sirindhorna,Cretaceous,herbivore,Thailand
Skorpiovenator,Cretaceous,carnivore,South America
Sonidosaurus,Cretaceous,herbivore,China
Sonorasaurus,Cretaceous,herbivore,North America
Soriatitan,Cretaceous,herbivore,Spain
Sphaerotholus,Cretaceous,herbivore,North America
Spinophorosaurus,Jurassic,herbivore,Niger
Spinops,Cretaceous,herbivore,North America
Spinosaurus,Cretaceous,carnivore,Egypt & Morocco
Spinostropheus,Jurassic,carnivore,Niger
SPS 100/44,Cretaceous,carnivore/omnivore,Mongolia
Staurikosaurus,Triassic,carnivore,South America
Stegoceras,Cretaceous,herbivore,North America
Stegopelta,Cretaceous,herbivore,North America
Stegosaurides,Cretaceous,herbivore,China
Stegosaurus,Jurassic,herbivore,North America
Stegosaurus,Jurassic,herbivore,Portugal & USA
Stenonychosaurus,Cretaceous,carnivore,North America
Stenopelix,Cretaceous,herbivore,Germany
Stephanosaurus,Cretaceous,herbivore,North America
Stokesosaurus,Jurassic,carnivore,North America
Streptospondylus,Jurassic,carnivore,France
Struthiomimus,Cretaceous,omnivore,North America
Struthiosaurus,Cretaceous,herbivore,"Austria, France, Romania, Hungary"
Stygimoloch,Cretaceous,herbivore,North America
Styracosaurus,Cretaceous,herbivore,North America
Suchomimus,Cretaceous,carnivore,Niger
Suchosaurus,Cretaceous,carnivore,England
Sugiyamasaurus,Cretaceous,herbivore,Japan
Sulaimanisaurus,Cretaceous,herbivore,Pakistan
Supersaurus,Jurassic,herbivore,North America
Suskityrannus,Cretaceous,Carnivore,North America
Suuwassea,Jurassic,herbivore,North America
Suzhousaurus,Cretaceous,herbivore,China
Szechuanoraptor,Jurassic,herbivore,China
Szechuanosaurus,Jurassic,carnivore,China
Talarurus,Cretaceous,herbivore,Mongolia
Talenkauen,Cretaceous,herbivore,South America
Talos,Cretaceous,carnivore,North America
Tambatitanis,Cretaceous,herbivore,Japan
Tangvayosaurus,Cretaceous,herbivore,Laos
Tanius,Cretaceous,herbivore,China
Tanycolagreus,Jurassic,carnivore,North America
Tanystrosuchus,Triassic,carnivore,Germany
Taohelong,Cretaceous,herbivore,China
Tapuiasaurus,Cretaceous,herbivore,South America
Tarascosaurus,Cretaceous,carnivore,France
Tarbosaurus,Cretaceous,carnivore,Mongolia & China
Tarchia,Cretaceous,herbivore,Mongolia
Tastavinsaurus,Cretaceous,herbivore,Spain
Tatankacephalus,Cretaceous,herbivore,North America
Tatankaceratops,Cretaceous,herbivore,North America
Tataouinea,Cretaceous,herbivore,Tunisia
Tatisaurus,Jurassic,herbivore,China
Taurovenator,Cretaceous,carnivore,South America
Taveirosaurus,Cretaceous,herbivore,"Portugal, Spain"
Tawa,Triassic,carnivore,North America
Tazoudasaurus,Jurassic,herbivore,Morocco
Tehuelchesaurus,Jurassic,herbivore,South America
Teinurosaurus,Jurassic,carnivore,Portugal
Telmatosaurus,Cretaceous,herbivore,Romania
Tendaguria,Jurassic,herbivore,Tanzania
Tengrisaurus,Cretaceous,herbivore,Russia
Tenontosaurus,Cretaceous,herbivore,North America
Teratophoneus,Cretaceous,carnivore,North America
Tethyshadros,Cretaceous,herbivore,Italy
Texacephale,Cretaceous,herbivore,North America
Texasetes,Cretaceous,herbivore,North America
Thanos,Cretaceous,carnivore,South America
Thecocoelurus,Cretaceous,carnivore,England
Thecodontosaurus,Triassic,herbivore,England
Thecospondylus,Cretaceous,(carnivore),England
Theiophytalia,Cretaceous,herbivore,North America
Therizinosaurus,Cretaceous,herbivore,Mongolia
Therosaurus,Cretaceous,herbivore,England
Thescelosaurus,Cretaceous,herbivore,North America
Thespesius,Cretaceous,herbivore,North America
Thotobolosaurus,Triassic,herbivore,Lesotho
Tianchisaurus,Jurassic,herbivore,China
Tianyulong,Jurassic,omnivore,China
Tianyuraptor,Cretaceous,carnivore,China
Tianzhenosaurus,Cretaceous,herbivore,China
Tichosteus,Jurassic,herbivore,North America
Tienshanosaurus,Jurassic,herbivore,China
Timimus,Early Cretaceous,?,Australia
Titanoceratops,Cretaceous,herbivore,North America
Titanosaurus,Late Cretaceous,herbivore,India
Tochisaurus,Cretaceous,omnivore,Mongolia
Tonganosaurus,Jurassic,herbivore,China
Tonouchisaurus,Cretaceous,(unknown),Mongolia
Tornieria,Jurassic,herbivore,Tanzania
Torosaurus,Cretaceous,herbivore,North America
Torvosaurus,Jurassic,carnivore,North America
Torvosaurus,Jurassic,carnivore,Portugal & USA
Trachodon,Cretaceous,herbivore,North America
Tralkasaurus,Cretaceous,carnivore,South America
Traukutitan,Cretaceous,herbivore,South America
Triceratops,Cretaceous,herbivore,North America
Trigonosaurus,Cretaceous,herbivore,South America
Trimucrodon,Jurassic,herbivore,Portugal
Trinisaura,Late Cretaceous,herbivore,Antarctica
Troodon,Cretaceous,carnivore,North America
Tsaagan,Cretaceous,carnivore,Mongolia
Tsagantegia,Cretaceous,herbivore,Mongolia
Tsintaosaurus,Cretaceous,herbivore,China
Tugulusaurus,Cretaceous,carnivore?,China
Tuojiangosaurus,Jurassic,herbivore,China
Turanoceratops,Cretaceous,herbivore,Uzbekistan
Turiasaurus,Jurassic/Cretaceous,herbivore,"Spain, Portugal"
Tylocephale,Cretaceous,herbivore,Mongolia
Tyrannosaurus,Cretaceous,carnivore,North America
Tyrannotitan,Cretaceous,carnivore,South America
Uberabatitan,Cretaceous,herbivore,South America
Udanoceratops,Cretaceous,herbivore,Mongolia
Ultrasaurus,Cretaceous,herbivore,South Korea
Unaysaurus,Triassic,herbivore,South America
Unenlagia,Cretaceous,carnivore,South America
Unescoceratops,Cretaceous,herbivore,North America
Unquillosaurus,Cretaceous,carnivore,South America
Urbacodon,Cretaceous,carnivore,Uzbekistan
Utahceratops,Cretaceous,herbivore,North America
Utahraptor,Cretaceous,carnivore,North America
Uteodon,Jurassic,herbivore,North America
Vagaceratops,Cretaceous,herbivore,North America
Vahiny,Late Cretaceous,herbivore,Madagascar
Valdoraptor,Cretaceous,carnivore,England
Valdosaurus,Cretaceous,herbivore,England
Vallibonavenatrix,Cretaceous,carnivore,Spain
Variraptor,Cretaceous,carnivore,England
Vayuraptor,Cretaceous,carnivore,Thailand
Velafrons,Cretaceous,herbivore,North America
Velocipes,Triassic,carnivore,Poland
Velociraptor,Cretaceous,carnivore,Mongolia & China
Velocisaurus,Cretaceous,carnivore,South America
Venenosaurus,Cretaceous,herbivore,North America
Veterupristisaurus,Jurassic,carnivore,Tanzania
Vitakridrinda,Cretaceous,carnivore,Pakistan
Vitakrisaurus,Cretaceous,carnivore,Pakistan
Volkheimeria,Jurassic,herbivore,South America
Vouivria,Jurassic,herbivore,France
Vulcanodon,Jurassic,herbivore,Zimbabwe
Wakinosaurus,Cretaceous,carnivore,Japan
Walgettosuchus,Early Cretaceous,carnivore,Australia
Wamweracaudia,Jurassic,herbivore,Tanzania
Wannanosaurus,Cretaceous,herbivore,China
Weewarrasaurus,Late Cretaceous,herbivore,Australia
Wellnhoferia,Jurassic,carnivore,Germany
Willinakaqe,Cretaceous,herbivore,South America
Wintonotitan,Early Cretaceous,herbivore,Australia
Wuerhosaurus,Cretaceous,herbivore,China & Mongolia
Wulagasaurus,Cretaceous,herbivore,China
Wulatelong,Cretaceous,omnivore,China
Xenoceratops,Cretaceous,herbivore,North America
Xenoposeidon,Cretaceous,herbivore,England
Xenotarsosaurus,Cretaceous,carnivore,South America
Xianshanosaurus,Cretaceous,herbivore,China
Xiaosaurus,Jurassic,herbivore,China
Xiaotingia,Jurassic,carnivore,China
Xinjiangovenator,Cretaceous,carnivore,Formerly referred to Phaedrolosaurus.
Xinjiangtitan,Jurassic,herbivore,A sauropod with an unusually long neck.
Xiongguanlong,Cretaceous,carnivore,China
Xixianykus,Cretaceous,(unknown),China
Xixiasaurus,Cretaceous,carnivore,A troodontid.
Xixiposaurus,Jurassic,omnivore,A basal sauropodomorph.
Xuanhanosaurus,Jurassic,carnivore,It was once thought to walk on four legs. This is now unlikely.
Xuanhuaceratops,Jurassic,herbivore,A basal ceratopsian.
Xunmenglong,Cretaceous,Carnivore,China
Xuwulong,Cretaceous,herbivore,China
Yamaceratops,Cretaceous,herbivore,Mongolia
Yamanasaurus,Cretaceous,herbivore,South America
Yandusaurus,Jurassic,herbivore,China
Yangchuanosaurus,Jurassic,carnivore,China
Yaverlandia,Cretaceous,carnivore,England
Yibinosaurus,Jurassic,herbivore,Probably a sauropod.
Yimenosaurus,Jurassic,herbivore,A large basal sauropodomorph.
Yingshanosaurus,Jurassic,herbivore,China
Yinlong,Jurassic,herbivore,A basal ceratopsian.
Yixianosaurus,Cretaceous,carnivore,The only anchiornithid to live in the Cretaceous.
Yizhousaurus,Jurassic,herbivore,This name was a nomen nudum for eight years and was only formally described in 2018.
Yongjinglong,Cretaceous,herbivore,A very large sauropod.
Yuanmousaurus,Jurassic,herbivore,A mamenchisaurid sauropod.
Yueosaurus,Cretaceous,herbivore,Probably a relative of Jeholosaurus.
Yulong,Cretaceous,omnivore,A small oviraptorosaur.
Yunganglong,Cretaceous,herbivore,A hadrosauroid.
Yunnanosaurus,Jurassic,herbivore,A basal sauropodomorph.
Yunxianosaurus,Cretaceous,herbivore,Possibly a titanosaur.
Yurgovuchia,Cretaceous,carnivore,North America
Yutyrannus,Cretaceous,carnivore,China
Zalmoxes,Cretaceous,herbivore,Romania
Zanabazar,Cretaceous,carnivore,Mongolia
Zapalasaurus,Cretaceous,herbivore,South America
Zapsalis,Cretaceous,carnivore,North America
Zby,Jurassic,herbivore,Portugal
Zephyrosaurus,Cretaceous,herbivore,North America
Zhanghenglong,Cretaceous,herbivore,China
Zhejiangosaurus,Cretaceous,herbivore,China
Zhongornis,Cretaceous,(unknown),China
Zhongyuansaurus,Cretaceous,herbivore,China
Zhuchengceratops,Cretaceous,herbivore,China
Zhuchengtyrannus,Cretaceous,carnivore,China
Ziapelta,Cretaceous,herbivore,North America
Zigongosaurus,Jurassic,herbivore,China
Zizhongosaurus,Jurassic,herbivore,China
Zuniceratops,Cretaceous,herbivore,North America
Zuolong,Jurassic,carnivore,China
Zupaysaurus,Triassic,carnivore,South America
Zuul,Cretaceous,herbivore,North America
